year,team_abb,player,college,round,pick,official_key
1990,NJN,Derrick Coleman,Syracuse,1,1,"Derrick Coleman, Syracuse, 1990"
1990,SEA,Gary Payton,Oregon State,1,2,"Gary Payton, Oregon State, 1990"
1990,DEN,Mahmoud Abdul-Rauf,LSU,1,3,"Mahmoud Abdul-Rauf, LSU, 1990"
1990,ORL,Dennis Scott,Georgia Tech,1,4,"Dennis Scott, Georgia Tech, 1990"
1990,CHH,Kendall Gill,Illinois,1,5,"Kendall Gill, Illinois, 1990"
1990,MIN,Felton Spencer,Louisville,1,6,"Felton Spencer, Louisville, 1990"
1990,SAC,Lionel Simmons,La Salle,1,7,"Lionel Simmons, La Salle, 1990"
1990,LAC,Bo Kimble,Loyola Marymount,1,8,"Bo Kimble, Loyola Marymount, 1990"
1990,MIA,Willie Burton,Minnesota,1,9,"Willie Burton, Minnesota, 1990"
1990,ATL,Rumeal Robinson,Michigan,1,10,"Rumeal Robinson, Michigan, 1990"
1990,GSW,Tyrone Hill,Xavier,1,11,"Tyrone Hill, Xavier, 1990"
1990,HOU,Alec Kessler,Georgia,1,12,"Alec Kessler, Georgia, 1990"
1990,LAC,Loy Vaught,Michigan,1,13,"Loy Vaught, Michigan, 1990"
1990,SAC,Travis Mays,Texas,1,14,"Travis Mays, Texas, 1990"
1990,MIA,Dave Jamerson,Ohio University,1,15,"Dave Jamerson, Ohio University, 1990"
1990,MIL,Terry Mills,Michigan,1,16,"Terry Mills, Michigan, 1990"
1990,NYK,Jerrod Mustaf,Maryland,1,17,"Jerrod Mustaf, Maryland, 1990"
1990,SAC,Duane Causwell,Temple,1,18,"Duane Causwell, Temple, 1990"
1990,BOS,Dee Brown,Jacksonville University,1,19,"Dee Brown, Jacksonville University, 1990"
1990,MIN,Gerald Glass,Ole Miss,1,20,"Gerald Glass, Ole Miss, 1990"
1990,PHO,Jayson Williams,St. John's,1,21,"Jayson Williams, St. John's, 1990"
1990,NJN,Tate George,UConn,1,22,"Tate George, UConn, 1990"
1990,SAC,Anthony Bonner,Saint Louis,1,23,"Anthony Bonner, Saint Louis, 1990"
1990,SAS,Dwayne Schintzius,Florida,1,24,"Dwayne Schintzius, Florida, 1990"
1990,POR,Alaa Abdelnaby,Duke,1,25,"Alaa Abdelnaby, Duke, 1990"
1990,DET,Lance Blanks,Texas,1,26,"Lance Blanks, Texas, 1990"
1990,LAL,Elden Campbell,Clemson,1,27,"Elden Campbell, Clemson, 1990"
1990,GSW,Les Jepsen,Iowa,2,28,"Les Jepsen, Iowa, 1990"
1990,CHI,Toni Kukoč,No US College,2,29,"Toni Kukoč, No US College, 1990"
1990,MIA,Carl Herrera,Houston,2,30,"Carl Herrera, Houston, 1990"
1990,PHO,Negele Knight,Dayton,2,31,"Negele Knight, Dayton, 1990"
1990,PHI,Brian Oliver,Georgia Tech,2,32,"Brian Oliver, Georgia Tech, 1990"
1990,UTA,Walter Palmer,Dartmouth College,2,33,"Walter Palmer, Dartmouth College, 1990"
1990,GSW,Kevin Pritchard,Kansas,2,34,"Kevin Pritchard, Kansas, 1990"
1990,WSB,Greg Foster,Texas-El Paso,2,35,"Greg Foster, Texas-El Paso, 1990"
1990,ATL,Trevor Wilson,UCLA,2,36,"Trevor Wilson, UCLA, 1990"
1990,WSB,A.J. English,Virginia Union University,2,37,"A.J. English, Virginia Union University, 1990"
1990,SEA,Jud Buechler,Arizona,2,38,"Jud Buechler, Arizona, 1990"
1990,CHH,Steve Scheffler,Purdue,2,39,"Steve Scheffler, Purdue, 1990"
1990,SAC,Bimbo Coles,Virginia Tech,2,40,"Bimbo Coles, Virginia Tech, 1990"
1990,ATL,Steve Bardo,Illinois,2,41,"Steve Bardo, Illinois, 1990"
1990,DEN,Marcus Liberty,Illinois,2,42,"Marcus Liberty, Illinois, 1990"
1990,SAS,Tony Massenburg,Maryland,2,43,"Tony Massenburg, Maryland, 1990"
