,Season,School,Conf,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,player
0,2016-17,Rutgers,Big Ten,32,2,431,3.5,8.9,0.396,3.2,7.1,0.442,0.4,1.8,0.21100000000000002,1.9,4.3,0.457,8.3,0.8,0.8,2.7,2.4,5.2,9.4,Candido Sa
1,2017-18,Rutgers,Big Ten,32,0,394,2.6,6.1,0.433,2.4,5.6,0.436,0.2,0.5,0.4,1.0,2.3,0.435,10.3,0.3,1.2,1.3,2.2,4.4,6.5,Candido Sa
2,Career,Rutgers,,64,2,825,3.1,7.6,0.41,2.8,6.4,0.439,0.3,1.2,0.25,1.5,3.3,0.449,9.2,0.6,1.0,2.0,2.3,4.8,8.0,Candido Sa
0,2001-02,USC,Pac-10,2,0,3,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,26.7,0.0,0.0,0.0,26.7,26.7,0.0,Anthony Saadey
1,Career,USC,,2,0,3,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,26.7,0.0,0.0,0.0,26.7,26.7,0.0,Anthony Saadey
0,2006-07,South Florida,Big East,29,2,493,3.2,7.1,0.46,3.1,6.5,0.475,0.2,0.6,0.28600000000000003,1.5,2.7,0.5760000000000001,7.0,2.8,1.1,0.5,2.6,4.2,8.2,Amu Saaka
1,2007-08,South Florida,Big East,29,5,305,3.5,8.4,0.42200000000000004,2.8,5.8,0.47700000000000004,0.8,2.6,0.3,2.0,3.7,0.536,6.3,1.3,0.1,0.5,2.1,5.8,9.8,Amu Saaka
2,2009-10,Furman,Southern,30,30,975,6.7,14.9,0.44799999999999995,5.0,10.4,0.484,1.6,4.5,0.364,4.4,6.3,0.695,8.9,2.1,0.8,0.6,2.7,3.9,19.4,Amu Saaka
3,2010-11,Furman,Southern,33,33,1043,6.4,13.9,0.461,4.5,8.6,0.525,1.9,5.3,0.36,5.0,5.7,0.872,8.2,1.3,0.9,0.4,2.2,3.2,19.7,Amu Saaka
4,Career,Overall,,121,70,2816,5.6,12.5,0.45299999999999996,4.2,8.5,0.498,1.4,3.9,0.355,3.8,5.2,0.745,8.0,1.8,0.8,0.5,2.4,3.9,16.5,Amu Saaka
