,Season,School,Conf,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,player
0,1999-00,Montana State,Big Sky,4,4,,,,0.667,,,1.0,,,0.5,,,0.5,,,,,,,,Danny Faaborg
1,2000-01,Montana State,Big Sky,29,0,,,,0.447,,,0.5,,,0.395,,,0.75,,,,,,,,Danny Faaborg
2,2001-02,Montana State,Big Sky,29,1,317.0,3.4,8.1,0.42200000000000004,1.1,2.8,0.409,2.3,5.3,0.429,0.8,0.9,0.857,3.0,2.1,0.6,0.1,1.8,2.9,9.8,Danny Faaborg
3,2002-03,Montana State,Big Sky,26,26,430.0,2.8,9.2,0.303,1.2,3.3,0.361,1.6,5.9,0.27,1.1,1.6,0.706,4.8,2.8,0.7,0.1,,,8.3,Danny Faaborg
4,2003-04,Montana State,Big Sky,27,27,635.0,3.8,9.7,0.39,1.4,3.1,0.46,2.3,6.6,0.35600000000000004,1.6,2.3,0.6940000000000001,4.4,1.9,0.5,0.0,2.9,4.5,11.5,Danny Faaborg
5,Career,Montana State,,115,58,1382.0,4.4,11.5,0.386,1.9,4.3,0.442,2.5,7.2,0.353,1.7,2.4,0.72,5.7,3.0,0.7,0.1,,,13.1,Danny Faaborg
0,2008-09,DePaul,Big East,28,1,223.0,3.4,7.0,0.48700000000000004,3.4,7.0,0.48700000000000004,0.0,0.0,,2.0,4.7,0.423,9.3,0.7,0.7,1.4,1.6,5.9,8.8,Krys Faber
1,2009-10,DePaul,Big East,30,11,359.0,3.2,7.4,0.439,3.2,7.4,0.439,0.0,0.0,,1.7,2.8,0.6,9.9,0.7,0.6,1.4,2.0,6.8,8.1,Krys Faber
2,2010-11,DePaul,Big East,31,31,745.0,4.3,8.9,0.48200000000000004,4.2,8.9,0.479,0.1,0.1,1.0,3.0,4.7,0.644,8.8,0.8,1.0,0.9,2.6,5.6,11.7,Krys Faber
3,2011-12,DePaul,Big East,30,26,595.0,3.0,5.4,0.556,3.0,5.4,0.556,0.0,0.0,,2.1,2.6,0.816,9.5,0.7,0.9,0.9,1.6,5.5,8.1,Krys Faber
4,Career,DePaul,,119,69,1922.0,3.6,7.3,0.491,3.6,7.3,0.49,0.0,0.0,1.0,2.4,3.7,0.642,9.3,0.7,0.9,1.1,2.1,5.8,9.6,Krys Faber
0,2012-13,Florida A&M,MEAC,17,0,69.0,4.6,8.7,0.5329999999999999,4.6,7.5,0.615,0.0,1.2,0.0,3.5,5.2,0.667,7.0,2.3,2.3,0.0,1.7,3.5,12.8,Michael Fabiyi
1,Career,Florida A&M,,17,0,69.0,4.6,8.7,0.5329999999999999,4.6,7.5,0.615,0.0,1.2,0.0,3.5,5.2,0.667,7.0,2.3,2.3,0.0,1.7,3.5,12.8,Michael Fabiyi
0,2017-18,Fairleigh Dickinson,NEC,6,0,9.0,4.4,8.9,0.5,4.4,4.4,1.0,0.0,4.4,0.0,0.0,0.0,,4.4,0.0,4.4,0.0,8.9,0.0,8.9,Brian Fabre
1,Career,Fairleigh Dickinson,,6,0,9.0,4.4,8.9,0.5,4.4,4.4,1.0,0.0,4.4,0.0,0.0,0.0,,4.4,0.0,4.4,0.0,8.9,0.0,8.9,Brian Fabre
0,2011-12,Princeton,Ivy,6,0,9.0,4.4,8.9,0.5,0.0,0.0,,4.4,8.9,0.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,8.9,13.3,Brian Fabrizius
1,2012-13,Princeton,Ivy,3,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brian Fabrizius
2,Career,Princeton,,9,0,10.0,4.0,8.0,0.5,0.0,0.0,,4.0,8.0,0.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,8.0,12.0,Brian Fabrizius
0,2008-09,Dayton,A-10,31,0,276.0,6.5,17.7,0.369,0.9,2.6,0.33299999999999996,5.7,15.1,0.375,0.4,0.7,0.6,4.6,1.4,0.4,0.9,1.3,3.2,19.1,Luke Fabrizius
1,2009-10,Dayton,A-10,25,0,233.0,7.2,19.6,0.368,0.9,3.9,0.217,6.4,15.6,0.40700000000000003,0.2,0.5,0.33299999999999996,6.5,0.7,0.0,0.7,1.4,5.0,20.9,Luke Fabrizius
2,2010-11,Dayton,A-10,30,0,334.0,4.9,13.2,0.373,1.4,3.1,0.462,3.5,10.1,0.345,0.5,0.8,0.5710000000000001,4.0,0.7,0.7,0.2,1.4,4.4,13.8,Luke Fabrizius
3,2011-12,Dayton,A-10,30,12,492.0,4.9,11.7,0.41700000000000004,1.5,3.1,0.5,3.3,8.6,0.387,0.9,1.3,0.688,6.0,2.0,0.2,1.2,1.4,4.4,14.0,Luke Fabrizius
