2P,2P%,2PA,3P,3P%,3PA,AST,BLK,Conf,FG,FG%,FGA,FT,FT%,FTA,G,GS,MP,PF,PTS,STL,School,Season,TOV,TRB,player
,0.595,,,,,,,MEAC,,0.595,,,0.364,,22,,,,,,North Carolina A&T,1998-99,,,Jafar Taalib
,0.488,,,0.0,,,,MEAC,,0.485,,,0.655,,29,29.0,,,,,North Carolina A&T,1999-00,,,Jafar Taalib
,0.52,,,0.0,,,,MEAC,,0.51,,,0.579,,24,21.0,,,,,North Carolina A&T,2000-01,,,Jafar Taalib
6.6,0.565,11.7,0.0,0.0,0.3,0.8,1.2,MEAC,6.6,0.55,12.0,3.0,0.7,4.3,19,2.0,370.0,4.5,16.2,0.6,North Carolina A&T,2001-02,2.6,9.3,Jafar Taalib
28.5,0.523,54.6,0.0,0.0,0.8,6.1,7.7,,28.5,0.516,55.4,11.1,0.62,17.9,94,52.0,370.0,16.4,68.2,5.5,North Carolina A&T,Career,6.5,40.2,Jafar Taalib
0.0,0.0,1.1,0.0,0.0,4.2,0.0,0.0,Big West,0.0,0.0,5.3,0.0,,0.0,7,0.0,38.0,5.3,0.0,0.0,Cal State Fullerton,2019-20,1.1,1.1,Emmanuel Taban
0.0,0.0,1.1,0.0,0.0,4.2,0.0,0.0,,0.0,0.0,5.3,0.0,,0.0,7,0.0,38.0,5.3,0.0,0.0,Cal State Fullerton,Career,1.1,1.1,Emmanuel Taban
2.9,0.435,6.8,3.9,0.345,11.2,1.9,0.7,MEAC,6.8,0.379,17.9,3.3,0.826,4.0,32,32.0,1100.0,3.7,20.7,1.6,Bethune-Cookman,2016-17,1.7,6.3,Brandon Tabb
3.2,0.517,6.2,4.1,0.337,12.3,2.1,0.5,MEAC,7.3,0.397,18.5,5.4,0.914,5.9,30,27.0,938.0,3.6,24.2,2.0,Bethune-Cookman,2017-18,2.9,4.6,Brandon Tabb
3.1,0.47100000000000003,6.5,4.0,0.341,11.7,2.0,0.6,,7.0,0.38799999999999996,18.2,4.3,0.875,4.9,62,59.0,2038.0,3.6,22.3,1.7,Bethune-Cookman,Career,2.3,5.6,Brandon Tabb
2.7,0.46299999999999997,5.8,1.6,0.322,5.1,1.6,0.2,NEC,4.3,0.397,10.8,3.6,0.778,4.6,21,,465.0,1.8,13.8,1.3,Quinnipiac,1998-99,4.2,5.6,Colin Tabb
2.7,0.46299999999999997,5.8,1.6,0.322,5.1,1.6,0.2,,4.3,0.397,10.8,3.6,0.778,4.6,21,,465.0,1.8,13.8,1.3,Quinnipiac,Career,4.2,5.6,Colin Tabb
