year,team_abb,player,college,round,pick,official_key
1993,ORL,Chris Webber,Michigan,1,1,"Chris Webber, 1993"
1993,PHI,Shawn Bradley,BYU,1,2,"Shawn Bradley, 1993"
1993,GSW,Anfernee Hardaway,Memphis,1,3,"Anfernee Hardaway, 1993"
1993,DAL,Jamal Mashburn,Kentucky,1,4,"Jamal Mashburn, 1993"
1993,MIN,Isaiah Rider,UNLV,1,5,"Isaiah Rider, 1993"
1993,WSB,Calbert Cheaney,Indiana,1,6,"Calbert Cheaney, 1993"
1993,SAC,Bobby Hurley,Duke,1,7,"Bobby Hurley, 1993"
1993,MIL,Vin Baker,University of Hartford,1,8,"Vin Baker, 1993"
1993,DEN,Rodney Rogers,Wake Forest,1,9,"Rodney Rogers, 1993"
1993,DET,Lindsey Hunter,Jackson State University,1,10,"Lindsey Hunter, 1993"
1993,DET,Allan Houston,Tennessee,1,11,"Allan Houston, 1993"
1993,LAL,George Lynch,UNC,1,12,"George Lynch, 1993"
1993,LAC,Terry Dehere,Seton Hall,1,13,"Terry Dehere, 1993"
1993,IND,Scott Haskin,Oregon State,1,14,"Scott Haskin, 1993"
1993,ATL,Doug Edwards,Florida State,1,15,"Doug Edwards, 1993"
1993,NJN,Rex Walters,Kansas,1,16,"Rex Walters, 1993"
1993,CHH,Greg Graham,Indiana,1,17,"Greg Graham, 1993"
1993,UTA,Luther Wright,Seton Hall,1,18,"Luther Wright, 1993"
1993,BOS,Acie Earl,Iowa,1,19,"Acie Earl, 1993"
1993,CHH,Scott Burrell,UConn,1,20,"Scott Burrell, 1993"
1993,POR,James Robinson,Alabama,1,21,"James Robinson, 1993"
1993,CLE,Chris Mills,Arizona,1,22,"Chris Mills, 1993"
1993,SEA,Ervin Johnson,New Orleans,1,23,"Ervin Johnson, 1993"
1993,HOU,Sam Cassell,Florida State,1,24,"Sam Cassell, 1993"
1993,CHI,Corie Blount,Cincinnati,1,25,"Corie Blount, 1993"
1993,ORL,Geert Hammink,LSU,1,26,"Geert Hammink, 1993"
