round,pick,predicted_player,actual_player,residual
1,1,Kira Lewis,Anthony Edwards,N/A
1,2,Collin McManus,James Wiseman,N/A
1,3,Killian Tillie,LaMelo Ball,N/A
1,4,Anthony Edwards,Patrick Williams,-3
1,5,Christian Keeling,Isaac Okoro,N/A
1,6,Daniel Oturu,Onyeka Okongwu,27
1,7,Yagizhan Selcuk,Killian Hayes,N/A
1,8,Nathan Knight,Obi Toppin,N/A
1,9,Shamarkus Kennedy,Deni Avdija,N/A
1,10,Cletrell Pope,Jalen Smith,N/A
1,11,C.J. Jones,Devin Vassell,N/A
1,12,Scottie James,Tyrese Haliburton,N/A
1,13,Cal Reichwein,Kira Lewis Jr.,N/A
1,14,Precious Achiuwa,Aaron Nesmith,6
1,15,Nico Mannion,Cole Anthony,33
1,16,Jacara Cross,Isaiah Stewart,N/A
1,17,Tyrell Terry,Aleksej Pokusevski,14
1,18,Anthony Lamb,Josh Green,N/A
1,19,Kamar Baldwin,Saddiq Bey,N/A
1,20,Tahjai Teague,Precious Achiuwa,N/A
1,21,Cam Jones,Tyrese Maxey,N/A
1,22,Saddiq Bey,Zeke Nnaji,-3
1,23,Jamir Thomas,Leandro Bolmaro,N/A
1,24,Mason Jones,R.J. Hampton,N/A
1,25,Isaiah Bailey,Immanuel Quickley,N/A
1,26,Ivan Gandia-Rosa,Payton Pritchard,N/A
1,27,JaQuan Lyle,Udoka Azubuike,N/A
1,28,DeShaw Andrews,Jaden McDaniels,N/A
1,29,Devonte Bandoo,Malachi Flynn,N/A
1,30,Emmanuel Dowuona,Desmond Bane,N/A
2,31,Max Lorca-Lloyd,Tyrell Terry,N/A
2,32,James Ellis,Vernon Carey Jr.,N/A
2,33,Austin Wiley,Daniel Oturu,N/A
2,34,Markus Howard,Théo Maledon,N/A
2,35,Paul Atkinson,Xavier Tillman Sr.,N/A
2,36,Georgie Pacheco-Ortiz,Tyler Bey,N/A
2,37,Desmond Bane,Vit Krejci,-7
2,38,Braun Hartfield,Saben Lee,N/A
2,39,Issac Vann,Elijah Hughes,N/A
2,40,Jordan Ford,Robert Woodard,N/A
2,41,Brandon Austin,Tre Jones,N/A
2,42,DaQuan Bracey,Nick Richards,N/A
2,43,Cassius Winston,Jahmi'us Ramsey,10
2,44,Tray Boyd,Marko Simonovic,N/A
2,45,Evan Boudreaux,Jordan Nwora,N/A
2,46,Tyler Hagedorn,CJ Elleby,N/A
2,47,Malik Fitts,Yam Madar,N/A
2,48,Makol Mawien,Nico Mannion,N/A
2,49,Laquincy Rideau,Isaiah Joe,N/A
2,50,Xavier Tillman,Skylar Mays,N/A
2,51,Desure Buie,Justinian Jessup,N/A
2,52,Josh Williams,Kenyon Martin Jr.,N/A
2,53,Jaire Grayer,Cassius Winston,N/A
2,54,John Mooney,Cassius Stanley,N/A
2,55,Naji Marshall,Jay Scrubb,N/A
2,56,Devine Eke,Grant Riller,N/A
2,57,Cyril Langevine,Reggie Perry,N/A
2,58,Tyrik Armstrong,Paul Reed,N/A
2,59,Deondre Burns,Jalen Harris,N/A
2,60,Tre Jones,Sam Merrill,-19
