round,pick,predicted_player,actual_player,residual
1,1,Shai Gilgeous-Alexander,Deandre Ayton,10
1,2,Kevin Knox,Marvin Bagley III,7
1,3,Jaren Jackson,Luka Dončić,N/A
1,4,Davion Turner,Jaren Jackson Jr.,N/A
1,5,Mohamed Bamba,Trae Young,N/A
1,6,Justin Tillman,Mo Bamba,N/A
1,7,Ben Lammers,Wendell Carter Jr.,N/A
1,8,Deandre Ayton,Collin Sexton,-7
1,9,Trae Young,Kevin Knox,-4
1,10,Gary Trent,Mikal Bridges,N/A
1,11,Collin Sexton,Shai Gilgeous-Alexander,-3
1,12,Jalin Hart,Miles Bridges,N/A
1,13,Johnny Hamilton,Jerome Robinson,N/A
1,14,Mikal Bridges,Michael Porter Jr.,-4
1,15,Nick Dixon,Troy Brown Jr.,N/A
1,16,Miles Bridges,Zhaire Smith,-4
1,17,Kentrell Barkley,Donte DiVincenzo,N/A
1,18,Donte DiVincenzo,Lonnie Walker,-1
1,19,Paris Collins,Kevin Huerter,N/A
1,20,Kevin Huerter,Josh Okogie,-1
1,21,Averyl Ugba,Grayson Allen,N/A
1,22,Chandler Hutchison,Chandler Hutchison,0
1,23,Desmond Williams,Aaron Holiday,N/A
1,24,Aaron Holiday,Anfernee Simons,-1
1,25,Zach Thomas,Moritz Wagner,N/A
1,26,Luke Meikle,Landry Shamet,N/A
1,27,Landry Shamet,Robert Williams,-1
1,28,Thomas Welsh,Jacob Evans,30
1,29,Darral Willis,Džanan Musa,N/A
1,30,Jacob Evans,Omari Spellman,-2
2,31,Omari Spellman,Elie Okobo,-1
2,32,Jevon Carter,Jevon Carter,0
2,33,Anas Mahmoud,Jalen Brunson,N/A
2,34,Jalen Brunson,Devonte' Graham,-1
2,35,Andre Spight,Melvin Frazier,N/A
2,36,Devonte' Graham,Mitchell Robinson,-2
2,37,Daryl Macon,Gary Trent Jr.,N/A
2,38,Melvin Frazier,Khyri Thomas,-3
2,39,William Lee,Isaac Bonga,N/A
2,40,Joseph Lopez,Rodions Kurucs,N/A
2,41,Frank Booker,Jarred Vanderbilt,N/A
2,42,Sam Burkart,Bruce Brown,N/A
2,43,Kevin Hervey,Justin Jackson,14
2,44,Manny Suarez,Issuf Sanon,N/A
2,45,Jarred Vanderbilt,Hamidou Diallo,-4
2,46,Trae Bell-Haynes,De'Anthony Melton,N/A
2,47,Justin Johnson,Sviatoslav Mykhailiuk,N/A
2,48,Erick Neal,Keita Bates-Diop,N/A
2,49,Ajdin Penava,Chimezie Metu,N/A
2,50,Josh Brown,Alize Johnson,N/A
2,51,Khalil Small,Tony Carr,N/A
2,52,Mike Morsell,Vince Edwards,N/A
2,53,E.C. Matthews,Devon Hall,N/A
2,54,Keita Bates-Diop,Shake Milton,-6
2,55,Dakota Mathias,Arnoldas Kulboka,N/A
2,56,Casey Benson,Ray Spalding,N/A
2,57,Xavier Eaglin,Kevin Hervey,N/A
2,58,Shep Garner,Thomas Welsh,N/A
2,59,Chimezie Metu,George King,-10
2,60,Donte Ingram,Kostas Antetokounmpo,N/A
