round,pick,predicted_player,actual_player
1,1,Zion Williamson,Zion Williamson
1,2,Ignas Brazdeikis,Ja Morant
1,3,De'Andre Hunter,RJ Barrett
1,4,Darius Garland,De'Andre Hunter
1,5,Coby White,Darius Garland
1,6,Nick Ward,Jarrett Culver
1,7,Cam Reddish,Coby White
1,8,Jaquan Dotson,Jaxson Hayes
1,9,Lew Stallworth,Rui Hachimura
1,10,Jaxson Hayes,Cam Reddish
1,11,Mike Daum,Cameron Johnson
1,12,Nick Emery,P.J. Washington
1,13,Tyler Herro,Tyler Herro
1,14,Alex Copeland,Romeo Langford
1,15,Chuma Okeke,Sekou Doumbouya
1,16,Caleb Stewart,Chuma Okeke
1,17,Nickeil Alexander-Walker,Nickeil Alexander-Walker
1,18,Romeo Langford,Goga Bitadze
1,19,Ja Morant,Luka Šamanić
1,20,Brandon Clarke,Matisse Thybulle
1,21,Michael Oguine,Brandon Clarke
1,22,Grant Williams,Grant Williams
1,23,Ty Jerome,Darius Bazley
1,24,James Thompson IV,Ty Jerome
1,25,James Batemon,Nassir Little
1,26,Nassir Little,Dylan Windler
1,27,Mfiondu Kabengele,Mfiondu Kabengele
1,28,Keldon Johnson,Jordan Poole
1,29,Nicolas Claxton,Keldon Johnson
1,30,Matt Rafferty,Kevin Porter Jr.
2,31,Carsen Edwards,Nicolas Claxton
2,32,Bruno Fernando,KZ Okpala
2,33,Devontae Cacok,Carsen Edwards
2,34,Aric Holman,Bruno Fernando
2,35,Elvin Rodriguez,Didi Louzada
2,36,Justin James,Cody Martin
2,37,Eric Paschall,Deividas Sirvydis
2,38,Admiral Schofield,Daniel Gafford
2,39,Jaylen Nowell,Alen Smailagić
2,40,Bol Bol,Justin James
2,41,Isaiah Walton,Eric Paschall
2,42,Isaiah Roby,Admiral Schofield
2,43,Talen Horton-Tucker,Jaylen Nowell
2,44,Phil Booth,Bol Bol
2,45,Joe Sherburne,Isaiah Roby
2,46,Evan Fitzner,Talen Horton-Tucker
2,47,Quinndary Weatherspoon,Ignas Brazdeikis
2,48,Jarrell Brantley,Terance Mann
2,49,Levi Bradley,Quinndary Weatherspoon
2,50,Tremont Waters,Jarrell Brantley
2,51,Jalen McDaniels,Tremont Waters
2,52,Matisse Thybulle,Jalen McDaniels
2,53,Justin Wright-Foreman,Justin Wright-Foreman
2,54,Brian Beard,Marial Shayok
2,55,Mike Cunningham,Kyle Guy
2,56,Tayler Persons,Jaylen Hands
2,57,Kyle Guy,Jordan Bone
2,58,Devin Mitchell,Miye Oni
2,59,Deishuan Booker,Dewan Hernandez
2,60,Jordan Bone,Vanja Marinković
